iter	RMSE
0	12.48044777
1	10.5814563
2	9.148074032
3	8.080670872
4	7.427481403
5	6.832491574
6	6.390718122
7	6.099198323
8	5.843115738
9	5.668952222
10	5.534136219
11	5.434860679
12	5.373370305
13	5.32792052
14	5.256460698
15	5.217409897
16	5.174262374
17	5.112362547
18	5.068491354
19	5.035973501
20	5.018590823
21	4.997885103
22	4.980891697
23	4.96413293
24	4.937869553
25	4.925591496
26	4.897417345
27	4.862987031
28	4.850520093
29	4.81966413
30	4.805739386
31	4.768374309
32	4.746481758
33	4.722485151
34	4.695933021
35	4.693676776
36	4.676632048
37	4.661411824
38	4.639801802
39	4.631706607
40	4.613583077
41	4.575465267
42	4.550024001
43	4.54866322
44	4.507118476
45	4.482753016
46	4.469749149
47	4.468045122
48	4.459135124
49	4.431777922
50	4.403667728
51	4.37932606
52	4.35620204
53	4.331044265
54	4.322541496
55	4.316278308
56	4.30078327
57	4.287663874
58	4.285472703
59	4.25993422
60	4.256265657
61	4.247363687
62	4.240830466
63	4.220033301
64	4.207064073
65	4.188135992
66	4.186341078
67	4.159156122
68	4.137980771
69	4.13625836
70	4.115053668
71	4.097052972
72	4.095727253
73	4.076061743
74	4.062173545
75	4.034788243
76	4.009375557
77	4.00100879
78	3.966059956
79	3.941468866
80	3.914635893
81	3.902292615
82	3.88919029
83	3.884109017
84	3.875939283
85	3.872258287
86	3.856071246
87	3.847319161
88	3.836134342
89	3.823896871
90	3.811790516
91	3.791225383
92	3.78881658
93	3.775463254
94	3.760643487
95	3.749429277
96	3.740817997
97	3.720276118
98	3.710599253
99	3.708841667
