iter	Passed	Remaining
0	0	920
1	1	843
2	2	801
3	3	777
4	3	769
5	4	748
6	5	759
7	6	756
8	6	758
9	7	752
10	8	747
11	9	743
12	9	743
13	10	736
14	11	736
15	11	727
16	12	722
17	13	715
18	13	708
19	14	703
20	15	700
21	15	697
22	16	696
23	17	693
24	17	691
25	18	691
26	19	689
27	19	692
28	20	693
29	21	693
30	22	692
31	22	692
32	23	691
33	24	688
34	24	688
35	25	688
36	26	688
37	27	687
38	27	684
39	28	684
40	29	684
41	29	682
42	30	680
43	31	678
44	31	679
45	32	676
46	33	674
47	33	673
48	34	674
49	35	677
50	36	678
51	37	679
52	38	679
53	38	679
54	39	677
55	40	676
56	40	675
57	41	674
58	42	674
59	42	671
60	43	669
61	44	668
62	44	668
63	45	667
64	46	666
65	47	666
66	47	665
67	48	664
68	49	664
69	49	663
70	50	663
71	51	663
72	52	663
73	53	663
74	53	661
75	54	660
76	55	660
77	55	659
78	56	658
79	57	657
80	57	656
81	58	656
82	59	652
83	59	651
84	60	650
85	61	650
86	61	649
87	62	648
88	63	646
89	63	645
90	64	644
91	65	645
92	67	653
93	67	655
94	68	654
95	69	652
96	69	650
97	70	648
98	71	646
99	71	645
100	72	643
101	72	642
102	73	642
103	74	640
104	75	639
105	75	637
106	76	635
107	76	633
108	77	631
109	77	629
110	78	626
111	78	624
112	79	622
113	80	622
114	80	621
115	81	623
116	82	622
117	83	621
118	83	621
119	84	620
120	85	619
121	85	616
122	86	615
123	86	613
124	88	617
125	88	616
126	89	614
127	90	614
128	90	613
129	91	613
130	92	612
131	93	612
132	93	611
133	94	610
134	95	612
135	96	613
136	97	612
137	98	612
138	98	611
139	99	610
140	100	609
141	100	606
142	100	604
143	101	603
144	102	601
145	102	600
146	103	598
147	103	597
148	104	595
149	104	594
150	105	592
151	106	591
152	106	589
153	107	588
154	107	586
155	108	585
156	108	583
157	109	582
158	110	582
159	110	581
160	111	579
161	112	579
162	112	578
163	113	576
164	113	575
165	114	574
166	114	572
167	115	571
168	115	570
169	116	569
170	117	568
171	117	567
172	118	566
173	119	565
174	119	563
175	120	562
176	120	561
177	121	560
178	121	558
179	122	557
180	122	556
181	123	554
182	124	553
183	124	552
184	125	552
185	126	551
186	126	550
187	127	550
188	128	549
189	128	548
190	129	546
191	129	545
192	130	544
193	130	543
194	131	542
195	131	541
196	132	540
197	133	539
198	133	538
199	134	537
200	134	535
201	135	534
202	135	533
203	136	532
204	136	531
205	137	530
206	138	528
207	138	527
208	139	526
209	139	525
210	140	525
211	141	524
212	141	524
213	142	523
214	143	522
215	143	521
216	144	520
217	144	519
218	145	518
219	145	516
220	146	516
221	146	514
222	147	514
223	148	513
224	148	512
225	149	511
226	149	510
227	150	509
228	150	508
229	151	507
230	151	505
231	152	504
232	153	504
233	153	502
234	154	502
235	154	501
236	155	500
237	156	500
238	156	499
239	157	498
240	158	497
241	158	497
242	159	496
243	160	496
244	160	495
245	161	494
246	161	493
247	162	492
248	163	491
249	163	490
250	164	489
251	164	488
252	165	487
253	165	486
254	166	485
255	166	484
256	167	483
257	167	482
258	168	482
259	169	481
260	169	480
261	170	479
262	171	479
